language,id,text,file,node,lineNumber,lock,comment
en,line:0bbc278,"Woman: ""Please sir, me and my children, we are starving. I can't afford anything, my husband died fighting for this kingdom.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,43,0d49d8ea,
en,line:0c589e9,"Baker: ""Look lady i understand your situation, but were all struggeling to make ends meet here so you can't just go around stealing things""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,44,c17fdf6d,
en,line:097c719,"Woman: ""Please, i am willing to do anything, just let me get this bread to my children""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,45,df212a86,
en,line:0087e24,"Baker: ""Lady...""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,46,60dff964,
en,line:0399a4b,"Witch: ""So this is how you treat your subjects? This widow is starving and desperate. My sweet regent, aren't you going to intervene?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,RegularStreet,48,36201b81,
en,line:018a23e,"Baker: ""Ah hello my regent, why do you grace us with your presence today""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,53,fae09499,
en,line:02d8cf0,"Regent: ""I overheared your commotion and decided to check it out""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,54,d54b22af,
en,line:0decc37,"Woman: ""My regent... there's no reason for you to intervene with such a small issue. The baker and I have this sorted.?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,55,fc88103c,Line metadata: lastline
en,line:05fc78b,Don't Worry I understand,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,56,a7498281,
en,line:072d637,"Regent: ""Don't worry, i understand. Here is some money so that you can pay this kind baker over here. It should be enough to get you back up your feet and find a job so that you can support your kids""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,57,829aaa8a,
en,line:0af5b34,"Woman: ""My regent. i can't-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,58,42f94417,
en,line:0126eb8,"Regent: ""You can, and you will. You are my subject and are a widow because of my wars. I am sorry for what happened to your husband, take this money, its the least i could do. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,59,96eb1977,
en,line:07671d4,"Woman: ""My regent, thank you, thank you so much""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,60,46db9fbd,
en,line:0ff6115,Silence,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,67,6c61fe49,
en,line:03f7b8f,"Regent: ""Silence, I saw what happened, if you really were starving you would be spending your time finding a job instead of stealing from others""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,68,030707d5,
en,line:0db8321,"Woman: ""You're right my regent, my apologies. It's just that-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,69,738fe9d4,
en,line:0e26352,"Regent: ""I heared your excuses, you should be lucky i don't throw you into jail with that mentality, now go ahead and apologise to the baker and leave. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,70,794b1172,
en,line:047496c,"Baker: ""My regent was that really necessary? She is starving and doesn't know what to do""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,72,ce427888,
en,line:01b361c,"Regent: ""So you would want me to condone stealing instead?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,73,b19b7a88,
en,line:09c8e16,"Baker: ""Well no ofcourse not, my apologies my regent.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,Intervene,74,"8,83E+75",
en,line:00f2d78,"Woman: ""My son haven't I told you not to go there? It's dangerous, you could get killed""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,83,0dba07cf,
en,line:0eb22a2,"Son: ""Mother you know we have to, the taxes are too high and we can't afford food anymore.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,84,668ad06e,
en,line:0a83248,"Son: I can't have my siblings become beggars. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,85,9369b179,
en,line:09f007c,"Witch: ""My my, my sweet regent. This one has a lot of potential.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,86,2e17a431,
en,line:08753de,"Witch: I can basically see the mana radiating off of him... interesting""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,87,d89c2a15,Line metadata: lastline
en,line:0bce6a6,"""What caused these scars young one?""""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,88,9a5eeb75,
en,line:09a09b8,"Woman: ""Hello my regent, thank you again for helping me.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,90,33974bee,
en,line:0dae066,"Woman: My son wanted to help get food and went to the fightclub nearby to get money""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,91,8e5ec8e8,
en,line:0cb1e50,"Son: ""Mother no, also what are you talking about?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,92,eabe677c,
en,line:04e1b45,"Woman: ""Our regent gave us some money to get back up on our feet. You dont have to fight anymore""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,93,d51a11c9,
en,line:01cebfe,"Son: ""Mother, just because we now have money doesn't mean that you can just talk about the fightclub in front of the regent.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,94,2e0cf19d,
en,line:0444994,"son: Those people still need their money. The club is illigal, what if they get caught""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,95,19aff8b3,
en,line:0df0530,"Woman: ""The regent just saw me steal a piece of bread and gave me money, they are kind and fogiving. There is no need to fear them.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,96,7f93ac05,
en,line:0b437b3,"Woman: ""My regent, there is no reason for you to worry about such small things""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,98,fed95293,
en,line:06da727,"Regent: ""I will worry about what i choose to worry about, now explain the scars.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,99,18807fbd,
en,line:02dd5da,"Woman: ""You see my regent, my son he goes to this club-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,100,babd3a91,
en,line:0f8800f,"Son: ""Mother don't, you know about the origins of the club""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,101,bcf35c4b,
en,line:0bc0d46,"Woman: ""So you want me to lie to our regent their face?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,102,940d2694,
en,line:027b6af,"Regent: ""I suggest you be honest with me""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,103,460c111a,
en,line:06f9c61,"Woman: ""My son has participated in a fighting club. We needed money to keep the house and my son thought this was a good idea to get money quickly. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,104,b537e9cc,
en,line:0a1afd1,"Regent: ""What caused these scars young one?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,106,a72a87b3,
en,line:00fdf57,"Woman: ""My regent, I do not wish to lie to you. My son, he has been forced to fight in this fighting club to get money.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,107,8d31582c,
en,line:09282f2,"Woman: ""He knows this is illigal and I have told him many times not to go, yet he didn't see another option""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,108,f6aaddf3,
en,line:0fd6ed5,"Woman: ""My regent please deal with this matter with mercy, these people don't have another choice""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,109,157b666c,Line metadata: lastline
en,line:0b0001c,"""Show me wher this fightclub is""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,110,f95c480e,
en,line:06fe26f,This will be the end for now,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,111,901da99a,
en,line:020fa43,"""Something like this doesn't come without consequences""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,112,149d52c2,
en,line:04b2971,"Regent: ""Something like this is not without consequences my boy, guards take him away""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,113,e1966272,
en,line:0d857e1,"Woman: ""Wait wait, please. my son he had to, please my regent... grant my son mercy""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,114,aaf34bf9,
en,line:0d56aac,"Witch: ""My regent, are you sure? this young man, his mana is one of a kind, the potential you'll lose with this decision...""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,115,56e54dc6,
en,line:07cbacd,"Woman: ""My regent, i know you're kind... I have seen it before, please grant my son the mercy did once grant me""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,117,e9c9f939,
en,line:0270c3c,Be merciful,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,119,0ae86720,
en,line:0d6ad20,"Regent: ""Fine, but this will not go unnoticed. You will carry out your scentence another way""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,120,800b17ea,
en,line:0e7dd30,"Regent: ""I noticed that you have great potential to be a mage.  I want you to be a mage of my court. Some of the best mages in this kingdom will teach you everything. In exchange, you are under my control you will not have it easy, but you will be great.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,121,c1a35dbf,
en,line:0c43a94,"Boy: ""Really? Thank you so much my regent, I will work hard I promise!""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,122,570f920a,
en,line:0d09fd5,This will be the end for now,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,123,901da99a,
en,line:01d57a1,Be merciless,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,124,7c2bbd14,
en,line:0f8c69d,"Regent: ""I do not care about your explenations. What are you standing there for? GUARDS arrest this young man!""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,125,e2a9e484,
en,line:0812a46,"Woman: ""My regent, why... Why would you do this, my son...""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,127,bc930ac5,
en,line:07cb3a5,"Woman: ""I  thought you were forgiving, i thought you were kind""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,128,9ff2464e,
en,line:07e9886,"Witch: ""My sweet regent, this is not only a waste of potential, but also cruel to the mother and good meaning son. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,129,cfc70752,
en,line:052ac8a,"Witch: ""My sweet regent, the potential that you just lost will not go unnoticed, this man could have been a great asset to you and your kingdom.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,131,62ffc8ec,
en,line:013ade7,"Witch: ""Not only did you fail this young man, you also failed the city. Or did you forget what started all of this?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,133,ad7a47a2,
en,line:011ac45,"Witch: ""My my,my sweet regent, did you really think that I would let this go. This kid has so much potential, it would be a shame to throw him into jail.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,134,c4580c1c,
en,line:055ea39,"Witch: ""At last we meet, I am saddened to say that this isn't under the circumstances that I hoped to see you, but I had to step in this time.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,136,e67a2ea3,
en,line:06b119f,"Witch: This kid is special, and I, unlike you, will make sure this power doesn't end up in the wrong hands. """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,137,f5fcd62f,
en,line:0336988,"Witch: ""Sadly for you, you made the wrong choices, if only you would have been a better person... We could have worked for you.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,138,1c87cc12,
en,line:0c23a21,"Witch: ""Consider your kingdom ours now, since you're clearly not... fit to rule""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,139,7d146fc8,
en,line:091b9ee,>,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,140,62b67e1f,
en,line:011a5b4,Listen in more,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,141,4b22281d,
en,line:0e30312,"Woman: ""I know sweetling but the regent just gave me money. It should be enough to get on our feet""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,143,6e66dcd6,
en,line:026560c,"Son: ""Really? So I don't have to fight anymore? I can finally try to become someones apprentice to become a mage?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,144,c5a18391,
en,line:01f92bd,"Woman: ""Yes sweetling, the queen saved us. Now please don't step foot into that fight club ever again""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,145,03049b81,
en,line:0ab99bb,"Son: ""mother, father has passed, you already gather herbs outside the kingdom walls. There's no other quick option""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,147,f6400227,
en,line:0fade45,"Woman: ""I can use my skills to make ends meet while you look for a mage to take you in as an apprentice, don't give up on your dream to support us""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,148,484dff76,
en,line:0ff4e21,"Son: ""Mother i already am looking for those, but for now theres no other way. I have to fight at the club""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,149,e259d70e,
en,line:0589fb0,"""A fightclub you say?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,151,e35bd55b,
en,line:0aac373,"Regent: ""I don't remember having a fightclub in my kingdom""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,152,1aa226aa,
en,line:0ef005f,"Woman: ""my sweet regent, I know youre kind and forgiving, these people need the money but this isn't safe. Please you need to do something about this.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,154,d8c0ced5,
en,line:017716f,"""Do not worry""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,156,19b016e5,
en,line:09bec62,"Regent: ""Do not worry dear i won't arrest them. Take me to this fightclub and we'll see the appropriate way to deal with all of them""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,157,f84318c4,
en,line:04ee047,"Son: ""Mother i fear for the people, what if the regent goes against what they said?""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,159,ffc50f13,
en,line:0028885,"Woman: ""Have faith in our regent sweetling, I believe they will rule with fairness and kindness""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,160,957f518e,
en,line:0f5b3a4,This will be the end for now,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,162,901da99a,
en,line:0d16077,"""Show me where this fightclub is""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,163,d1638e09,
en,line:0f5dfc2,This will be the end for now,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,164,901da99a,
en,line:06d9c74,Ignore it,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,165,86adcc15,
en,line:0f727ff,"Witch: ""Oh sweet regent, you will regret this, ingoring your Kingdoms problems is no way to rule""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,166,fef28284,
en,line:0effd1f,Ignore it,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,167,86adcc15,
en,line:09d0751,"Witch: ""Oh sweet regent, you will regret this, ingoring your Kingdoms problems is no way to rule""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,FightingClub,168,fef28284,
en,line:0107e39,"Regent: ""What is going on here""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,174,9e75252e,
en,line:0ffb971,"Smith: ""My regent-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,175,22d9a48b,
en,line:03ae300,"Party leader: ""So you're the noble regent of this city, let me introduce myself.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,176,b121b2c7,
en,line:0ab0309,"Epheulia: ""My name is Epheulia and I am the leader of this party.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,177,e8127007,
en,line:0f103db,"Epheulia: ""You see the smith over here he... owes us something and doesn't want to pay it back.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,178,91bf5fe1,
en,line:04f0346,"Smith: ""My regent, this isn't true. They are trying to use their fame to get my finest sword for free.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,179,bb1f138c,
en,line:0fc3170,"Witch: ""My my, my sweet regent, this would be the perfect time to introduce these heroes here to your kingdom.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,180,886b068c,
en,line:080d6ac,"Witch: I bet these people could be very useful... if you play your cards right """,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,181,61bd74e9,Line metadata: lastline
en,line:0a7849c,"""I'll give you the reward, but-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,182,38019759,
en,line:044ee7c,"Regent: ""Thank you fine heroes for saving my kingdom and slaying the dragon nearby, I will reward you for this heroic deed.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,183,f00c514c,
en,line:03c78e7,"Regent: ""Though i do ask you not to make trouble for my subjects again. Take this money and pay the Smith, keep the rest as a reward.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,184,d5231b1d,
en,line:05ec022,"Smith: ""Thank you my regent""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,185,0e347df8,
en,line:0b96f83,"""This is NOT how we handle things""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,186,1b8a77d6,
en,line:0c6b22c,"Regent: ""This is not how we handle things in this kingdom. I suggest you learn some respect before you anger the wrong person.",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,187,a9d703c6,
en,line:0f26799,"Regent: Now about the reward you were supposed to get.. Half of that will go to the Smith you just threathened, take this as a lesson and continue on your way.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,188,e92f8966,
en,line:05664c0,"Epheulia: ""Thank you for this... lesson. It will be of great use to us in the nearby future""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,189,7caf3268,
en,line:007797e,"Party member: ""But Epheulia they just-""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,190,6acb4126,
en,line:02b1364,"Epheulia: ""Quiet, the regent has spoken, let us be on our way then.""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,191,9be8085e,
en,line:0ecfeea,Ignore it,C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,192,86adcc15,
en,line:0c4ec73,"Regent: ""I will not waste my time on this sorry excuse of a party without manners. Find a solution yourself""",C:\Users\edewa\Desktop\CMGT\GitHub\InteractiveStorytelling\Assets\Dialogue\MyStoryScript.yarn,heroesParty,193,d43a8f0a,
